"(0, 0)","(0.5, 2)","(-1.0, 2)","(-1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(-1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(-1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(-0.3333333333333333, 2)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.01, 2)","(-0.5, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0.01, 2)","(0, 0)","(0.01, 2)","(-1.0, 2)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(-0.5, 2)","(1.0, 2)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(-0.5, 2)"
"(-1.0, 2)","(0.01, 2)","(-0.5, 2)","(0.01, 2)","(0, 1)","(-0.5, 2)","(0.5, 2)","(0.01, 2)","(1.0, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(-0.5, 2)","(-1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0.01, 2)","(-1.0, 2)","(0.01, 2)","(-1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(-0.5, 2)","(0, 0)","(0, 0)","(0.01, 2)","(0, 0)","(0, 0)","(1.0, 2)","(0.01, 2)","(0.01, 2)","(0.01, 2)","(0, 0)","(0.5, 2)","(0.01, 2)","(0, 1)","(0.01, 2)","(0.01, 2)","(-0.5, 2)","(0, 0)","(0.01, 2)","(0, 0)","(1.0, 2)","(0.01, 2)","(-0.4, 2)","(1.0, 2)","(-0.6666666666666666, 2)","(1.0, 2)"
"(0, 0)","(0, 0)","(0, 0)","(-1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(1.0, 2)","(0.01, 2)","(0.01, 2)","(0.5, 2)","(1.0, 2)","(1.0, 2)","(0.01, 2)","(0.01, 2)","(1.0, 2)","(0, 0)","(1.0, 2)","(0.01, 2)","(0, 0)","(0, 0)","(0, 0)","(0.01, 2)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(-1.0, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(-1.0, 2)","(-1.0, 2)","(1.0, 2)","(0, 0)","(-0.5, 2)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0.01, 2)","(0, 0)","(-1.0, 2)","(0, 0)","(0.01, 2)"
"(0, 0)","(0, 0)","(0, 0)","(-0.6666666666666666, 2)","(-0.6666666666666666, 2)","(0, 0)","(-1.0, 2)","(-1.0, 2)","(0, 0)","(-0.6666666666666666, 2)","(1.0, 2)","(-0.6666666666666666, 2)","(0, 0)","(-1.0, 2)","(1.0, 2)","(0.5, 2)","(0, 0)","(-0.4, 2)","(0.01, 2)","(0, 0)","(-1.0, 2)","(0, 0)","(1.0, 2)","(-1.0, 2)","(0.5, 2)","(-0.75, 2)","(0.01, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(-0.5, 2)","(-0.16666666666666666, 2)","(-0.5, 2)","(0, 0)","(-1.0, 2)","(-1.0, 2)","(0, 0)","(-1.0, 2)","(0.5, 2)","(-1.0, 2)","(1.0, 2)","(0.01, 2)","(-0.5, 2)","(0, 0)","(0, 0)","(-1.0, 2)","(0, 1)","(-0.25, 2)","(0, 0)","(-0.3333333333333333, 2)","(-0.5, 2)","(1.0, 2)","(-0.5, 2)","(1.0, 2)","(0.5, 2)","(-0.5, 2)","(-0.5, 2)","(1.0, 2)","(-1.0, 2)","(0, 0)"
"(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(-1.0, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(-1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0.01, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(-1.0, 2)","(-0.3333333333333333, 2)","(0, 0)","(0, 0)","(-0.5, 2)","(-1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(-0.6666666666666666, 2)","(0, 0)","(-0.6666666666666666, 2)","(1.0, 2)","(1.0, 2)","(-1.0, 2)","(0, 1)","(-1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(-0.5, 2)"
"(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(-0.3333333333333333, 2)","(-1.0, 2)","(-0.5, 2)","(1.0, 2)","(-0.2, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(-0.3333333333333333, 2)","(1.0, 2)","(-0.6666666666666666, 2)","(-0.6666666666666666, 2)","(1.0, 2)","(-0.3333333333333333, 2)","(1.0, 2)","(0, 1)","(-1.0, 2)","(-0.6666666666666666, 2)","(-0.3333333333333333, 2)","(-0.25, 2)","(-0.6, 2)","(-0.3333333333333333, 2)","(-0.5, 2)","(1.0, 2)","(1.0, 2)","(-0.8, 2)","(-0.5, 2)","(0.6666666666666666, 2)","(1.0, 2)","(-1.0, 2)","(-1.0, 2)","(-0.6666666666666666, 2)","(-0.5, 2)","(0, 1)","(0.6666666666666666, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(-0.3333333333333333, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(0.6666666666666666, 2)","(-0.3333333333333333, 2)","(-0.25, 2)","(-0.3333333333333333, 2)","(1.0, 2)","(-0.3333333333333333, 2)","(-1.0, 2)","(1.0, 2)","(-0.5, 2)","(-0.25, 2)","(1.0, 2)"
"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.5, 2)","(0, 0)","(0.01, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(-0.5, 2)","(1.0, 2)","(0, 0)","(-1.0, 2)","(0.01, 2)","(-1.0, 2)","(-0.5, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.5, 2)","(0.01, 2)","(0.01, 2)","(1.0, 2)","(-0.6666666666666666, 2)","(0.01, 2)","(0, 0)","(0.01, 2)","(0.01, 2)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)"
"(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(-1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(-0.5, 2)","(-1.0, 2)","(1.0, 2)","(-0.6666666666666666, 2)","(-1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(-0.5, 2)","(1.0, 2)","(0.5, 2)","(1.0, 2)","(-1.0, 2)","(0, 0)","(-0.5, 2)","(0, 0)","(1.0, 2)","(-1.0, 2)","(0, 0)","(0, 0)","(-1.0, 2)","(-1.0, 2)","(-0.6, 2)","(1.0, 2)","(0, 0)","(-1.0, 2)","(-0.5, 2)","(0, 0)","(1.0, 2)","(-1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0.01, 2)","(0.01, 2)","(-1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(-1.0, 2)","(-1.0, 2)","(0, 0)"
"(0, 0)","(1.0, 2)","(0, 0)","(-0.4, 2)","(0, 0)","(1.0, 2)","(0.01, 2)","(-0.5, 2)","(0, 0)","(0, 0)","(0, 0)","(0.01, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(-1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(-1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(-0.5, 2)","(1.0, 2)","(0.01, 2)","(0, 0)","(0, 0)","(-1.0, 2)","(-1.0, 2)","(-1.0, 2)","(-1.0, 2)","(0, 0)","(-1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0.01, 2)","(1.0, 2)","(0.01, 2)","(0.5, 2)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(-1.0, 2)","(-1.0, 2)","(0, 0)","(-1.0, 2)","(0, 0)"
"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(-1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(-1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(-1.0, 2)","(-0.3333333333333333, 2)","(0, 0)","(0, 0)","(-0.5, 2)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(-1.0, 2)","(0, 0)","(0.01, 2)","(-1.0, 2)","(0, 0)","(0, 0)","(-1.0, 2)","(-0.5, 2)","(0, 0)","(-0.5, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)"
"(0, 0)","(1.0, 2)","(0.01, 2)","(1.0, 2)","(1.0, 2)","(-0.5, 2)","(0, 0)","(0, 0)","(0.01, 2)","(-0.5, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(-1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(-1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0.01, 2)","(0, 0)","(0.01, 2)","(0.01, 2)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(-0.25, 2)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(0.01, 2)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(-1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)"
"(-0.5, 2)","(1.0, 2)","(0, 0)","(-0.5, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(-1.0, 2)","(-1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(-0.5, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(-1.0, 2)","(0, 0)","(1.0, 2)","(-0.3333333333333333, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0.01, 2)","(0, 0)","(1.0, 2)","(0, 0)","(-0.07142857142857142, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(-0.5, 2)","(0.01, 2)","(-0.5, 2)","(0.01, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)"
"(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.01, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)"
"(-0.5, 2)","(0, 0)","(-0.5, 2)","(0.75, 2)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(-1.0, 2)","(0, 0)","(-0.6666666666666666, 2)","(-1.0, 2)","(0, 0)","(-0.5, 2)","(-1.0, 2)","(1.0, 2)","(-1.0, 2)","(0, 0)","(-0.5, 2)","(1.0, 2)","(-1.0, 2)","(0, 0)","(-0.3333333333333333, 2)","(0, 0)","(0, 0)","(-0.6666666666666666, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0.01, 2)","(-0.75, 2)","(0.01, 2)","(0, 0)","(-0.5, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(-0.5, 2)","(0, 0)","(0, 0)","(0, 0)","(-0.5, 2)","(1.0, 2)","(-1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(-0.3333333333333333, 2)","(-0.5, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0.5, 2)","(-0.5, 2)","(1.0, 2)","(1.0, 2)","(-1.0, 2)","(1.0, 2)","(0, 0)"
"(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(-0.5, 2)","(0.01, 2)","(0.75, 2)","(0, 0)","(1.0, 2)","(-1.0, 2)","(1.0, 2)","(0, 0)","(-0.5, 2)","(0.01, 2)","(1.0, 2)","(1.0, 2)","(0, 0)","(-0.3333333333333333, 2)","(0.01, 2)","(1.0, 2)","(-0.75, 2)","(-1.0, 2)","(1.0, 2)","(1.0, 2)","(0.01, 2)","(0, 0)","(0, 0)","(0.01, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.01, 2)","(-1.0, 2)","(0.5, 2)","(0.01, 2)","(0, 0)","(-1.0, 2)","(1.0, 2)","(0.01, 2)","(0, 0)","(0.01, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(-0.5, 2)","(1.0, 2)","(1.0, 2)","(-0.5, 2)","(-1.0, 2)","(0, 0)","(-1.0, 2)"
"(0, 0)","(0, 0)","(1.0, 2)","(-1.0, 2)","(0, 0)","(1.0, 2)","(-1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0.01, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(-1.0, 2)","(0, 0)","(0.5, 2)"
"(1.0, 2)","(-0.6666666666666666, 2)","(0.25, 2)","(0.01, 2)","(-1.0, 2)","(0, 0)","(-0.5, 2)","(0, 0)","(0, 0)","(0.5, 2)","(-1.0, 2)","(-1.0, 2)","(0.01, 2)","(0, 0)","(1.0, 2)","(-0.5, 2)","(0, 0)","(-0.3333333333333333, 2)","(-0.25, 2)","(-0.6666666666666666, 2)","(1.0, 2)","(0.01, 2)","(1.0, 2)","(-0.5, 2)","(-0.5, 2)","(1.0, 2)","(-0.5, 2)","(-1.0, 2)","(-1.0, 2)","(0, 0)","(0, 0)","(-0.5, 2)","(0.01, 2)","(-0.5, 2)","(-0.6666666666666666, 2)","(0, 0)","(0, 0)","(0, 0)","(1.0, 2)","(1.0, 2)","(-0.3333333333333333, 2)","(-1.0, 2)","(0.01, 2)","(-1.0, 2)","(0, 0)","(1.0, 2)","(1.0, 2)","(0.01, 2)","(-1.0, 2)","(1.0, 2)","(0, 0)","(-0.3333333333333333, 2)","(0.01, 2)","(-0.5, 2)","(-0.5, 2)","(1.0, 2)","(-1.0, 2)","(0, 0)","(1.0, 2)","(0, 0)"
